"PVWatts Hourly PV Performance Data"
"Requested Location","denton, tx"
"Location","Lat, Lng: 33.21, -97.14"
"Latitude (DD)","33.21"
"Longitude (DD)","-97.14"
"Elevation (m)","202.67999267578"
"DC System Size (kW)","100"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"2","16","14","885","102","27","4.7","0.17","833.77","40.16","67712.276","64916.605"
"2","16","15","821","92","26","3.4","0.17","654.343","38.473","53978.687","51669.652"
"2","16","16","568","94","22","3.1","0.17","379.978","29.597","32148.19","30612.695"
"2","16","17","194","52","17","5.3","0.17","107.006","18.519","8099.435","7416.083"
"2","16","18","0","0","12","8.2","0.17","0","12","0","0"
"2","16","19","0","0","8","9.2","0.17","0","8","0","0"
"2","16","20","0","0","6","8.8","0.17","0","6","0","0"
"2","16","21","0","0","5","8.6","0.17","0","5","0","0"
"2","16","22","0","0","3","8.3","0.17","0","3","0","0"
"2","16","23","0","0","2","7.8","0.17","0","2","0","0"
"2","17","0","0","0","1","7.4","0.17","0","1","0","0"
"2","17","1","0","0","0","7","0.17","0","0","0","0"
"2","17","2","0","0","0","6.6","0.17","0","0","0","0"
"2","17","3","0","0","0","6.2","0.17","0","0","0","0"
"2","17","4","0","0","0","5.9","0.17","0","0","0","0"
"2","17","5","0","0","0","5.8","0.17","0","0","0","0"
"2","17","6","0","0","-1","6","0.17","0","-1","0","0"
"2","17","7","46","21","0","6.2","0.17","28.329","0.31","1471.913","1023.401"
"2","17","8","0","77","0","6.2","0.17","73.145","0.964","6495.475","5868.958"
"2","17","9","294","175","1","5.8","0.17","362.799","6.01","33422.611","31841.958"
"2","17","10","58","248","2","5.2","0.17","294.988","6.351","26512.597","25176.794"
"2","17","11","25","260","3","4.6","0.17","273.585","7.346","24246.301","22990.802"
"2","17","12","5","201","4","4.2","0.17","196.365","7.291","17180.287","16175.165"
"2","17","13","14","242","4","3.9","0.17","245.702","8.3","21589.086","20427.743"
"2","17","14","2","179","5","3.8","0.17","172.188","8.061","15048.744","14119.151"
"2","17","15","0","134","4","3.8","0.17","126.907","6.262","11156.78","10365.095"
"2","17","16","119","138","4","3.7","0.17","200.771","7.646","18067.271","17030.72"
"2","17","17","0","27","3","3.6","0.17","25.049","3.458","2053.348","1584.233"
"2","17","18","0","0","3","3.5","0.16","0","3","0","0"
"2","17","19","0","0","2","3.6","0.16","0","2","0","0"
"2","17","20","0","0","2","3.8","0.16","0","2","0","0"
"2","17","21","0","0","1","4.2","0.16","0","1","0","0"
"2","17","22","0","0","1","4.5","0.16","0","1","0","0"
"2","17","23","0","0","0","4.8","0.16","0","0","0","0"
"2","18","0","0","0","0","4.9","0.16","0","0","0","0"
"2","18","1","0","0","0","5.1","0.16","0","0","0","0"
"2","18","2","0","0","0","5.3","0.16","0","0","0","0"
"2","18","3","0","0","0","5.5","0.16","0","0","0","0"
"2","18","4","0","0","-1","5.7","0.16","0","-1","0","0"
"2","18","5","0","0","-1","5.9","0.16","0","-1","0","0"
"2","18","6","0","0","-2","6","0.16","0","-2","0","0"
"2","18","7","0","0","-2","6.1","0.16","0","0","0","0"
"2","18","8","0","13","-2","6.1","0.16","12.039","-1.84","1007.906","575.835"
"2","18","9","0","26","-2","6","0.16","24.119","-1.676","2066.195","1596.625"
"2","18","10","0","56","-1","5.8","0.16","52.053","-0.286","4520.143","3963.62"
"2","18","11","0","84","-1","5.5","0.16","78.196","0.109","6834.317","6195.794"
"2","18","12","0","104","0","5.2","0.16","97.087","1.427","8483.31","7786.357"
"2","18","13","0","120","0","4.9","0.16","112.428","1.716","9872.679","9126.495"
"2","18","14","0","107","0","4.5","0.16","99.977","1.61","8792.252","8084.351"
"2","18","15","0","45","0","4.3","0.16","41.793","0.693","3605.67","3081.551"
"2","18","16","0","16","0","4.1","0.16","14.826","0.254","1241.571","801.221"
"2","18","17","40","56","0","3.9","0.16","66.745","1.159","5617.952","5022.529"
"2","18","18","0","0","-1","3.9","0.16","0","-1","0","0"
"2","18","19","0","0","-1","3.9","0.16","0","-1","0","0"
"2","18","20","0","0","-2","3.8","0.16","0","-2","0","0"
"2","18","21","0","0","-2","3.7","0.16","0","-2","0","0"
"2","18","22","0","0","-2","3.5","0.16","0","-2","0","0"
"2","18","23","0","0","-2","3.5","0.16","0","-2","0","0"
"2","19","0","0","0","-2","3.4","0.16","0","-2","0","0"
"2","19","1","0","0","-2","3.3","0.16","0","-2","0","0"
"2","19","2","0","0","-2","3.2","0.16","0","-2","0","0"
"2","19","3","0","0","-2","3.1","0.16","0","-2","0","0"
"2","19","4","0","0","-2","3","0.16","0","-2","0","0"
"2","19","5","0","0","-2","3","0.16","0","-2","0","0"
"2","19","6","0","0","-2","3","0.16","0","-2","0","0"
"2","19","7","68","26","-2","3.2","0.16","39.35","-1.362","2066.089","1596.523"
"2","19","8","399","105","-1","3.3","0.16","273.309","4.254","24627.515","23358.508"
"2","19","9","0","91","0","3.2","0.16","85.019","1.665","7535.072","6871.718"
"2","19","10","693","168","0","2.9","0.16","720.468","14.873","64392.566","61714.526"
"2","19","11","0","100","0","2.5","0.16","93.251","2.052","8137.058","7452.374"
"2","19","12","759","190","0","2.1","0.16","916.223","21.865","78985.984","75790.84"
"2","19","13","740","192","0","1.8","0.16","886.161","22.49","76317.361","73216.777"
"2","19","14","0","121","1","1.6","0.16","113.462","3.994","9927.504","9179.377"
"2","19","15","638","156","1","1.6","0.16","606.331","17.121","54023.326","51712.709"
"2","19","16","0","25","0","1.6","0.16","23.178","0.615","1973.807","1507.511"
"2","19","17","175","62","0","1.6","0.16","113.486","2.939","9327.718","8600.844"
"2","19","18","0","0","0","1.7","0.16","0","0","0","0"
"2","19","19","0","0","0","2.1","0.16","0","0","0","0"
"2","19","20","0","0","0","2.1","0.16","0","0","0","0"
"2","19","21","0","0","-1","1.8","0.16","0","-1","0","0"
"2","19","22","0","0","-1","1.6","0.16","0","-1","0","0"
"2","19","23","0","0","-1","1.4","0.16","0","-1","0","0"
"2","20","0","0","0","-1","1.3","0.16","0","-1","0","0"
"2","20","1","0","0","-2","1.2","0.16","0","-2","0","0"
"2","20","2","0","0","-2","1.1","0.16","0","-2","0","0"
"2","20","3","0","0","-2","1","0.16","0","-2","0","0"
"2","20","4","0","0","-2","0.9","0.16","0","-2","0","0"
"2","20","5","0","0","-2","0.9","0.16","0","-2","0","0"
"2","20","6","0","0","-1","1.2","0.16","0","-1","0","0"
"2","20","7","0","22","0","1.3","0.16","20.726","0.51","1157.285","719.922"
"2","20","8","0","16","0","1.1","0.16","14.821","0.442","1239.727","799.442"
"2","20","9","0","108","2","0.9","0.16","101.581","5.18","8934.526","8221.584"
"2","20","10","0","153","4","0.7","0.16","144.885","8.772","12587.246","11744.874"
"2","20","11","0","156","5","0.6","0.16","147.371","9.982","12665.323","11820.184"
"2","20","12","28","286","6","0.8","0.16","314.498","16.062","26984.109","25631.598"
"2","20","13","22","268","7","0.8","0.16","278.973","15.927","23896.021","22652.934"
"2","20","14","25","246","8","0.6","0.16","258.283","16.744","22125.219","20944.878"
"2","20","15","323","211","8","0.4","0.16","444.051","24.021","38209.964","36459.677"
"2","20","16","205","140","7","0.2","0.16","249.39","16.58","21877.669","20706.1"
"2","20","17","364","55","6","0.3","0.16","157.291","11.657","12271.655","11440.466"
"2","20","18","0","0","4","0.6","0.16","0","4","0","0"
"2","20","19","0","0","2","0.9","0.16","0","2","0","0"
"2","20","20","0","0","1","1.1","0.16","0","1","0","0"
"2","20","21","0","0","1","1.2","0.16","0","1","0","0"
"2","20","22","0","0","0","1.5","0.16","0","0","0","0"
"2","20","23","0","0","0","1.8","0.16","0","0","0","0"
"2","21","0","0","0","0","1.7","0.16","0","0","0","0"
"2","21","1","0","0","0","1.2","0.16","0","0","0","0"
"2","21","2","0","0","0","1","0.16","0","0","0","0"
"2","21","3","0","0","0","1.2","0.16","0","0","0","0"
"2","21","4","0","0","0","1.9","0.16","0","0","0","0"
"2","21","5","0","0","0","2.5","0.16","0","0","0","0"
"2","21","6","0","0","0","2.9","0.16","0","0","0","0"
"2","21","7","74","29","1","3.1","0.16","44.172","1.757","2493.452","2008.742"
"2","21","8","0","62","2","3.3","0.16","57.838","3.116","5053.906","4478.469"
"2","21","9","0","17","3","3.2","0.16","15.766","3.309","1297.694","855.355"
"2","21","10","0","24","4","3.1","0.16","22.287","4.442","1832.853","1371.551"
"2","21","11","0","29","5","3.2","0.16","26.957","5.525","2209.252","1734.613"
"2","21","12","0","111","6","3","0.16","103.778","8.089","8850.118","8140.167"
"2","21","13","0","108","7","2.8","0.16","100.9","9.103","8571.274","7871.204"
"2","21","14","10","213","8","2.8","0.16","212.407","12.434","18368.721","17321.487"
"2","21","15","12","182","8","2.6","0.16","182.789","11.963","15911.416","14951.255"
"2","21","16","0","27","7","1.9","0.16","25.036","7.623","2074.822","1604.946"
"2","21","17","0","11","6","1.1","0.16","10.182","6.302","797.857","373.23"
"2","21","18","0","0","6","0.7","0.16","0","6","0","0"
"2","21","19","0","0","6","0.7","0.16","0","6","0","0"
"2","21","20","0","0","6","0.7","0.16","0","6","0","0"
"2","21","21","0","0","5","0.5","0.16","0","5","0","0"
"2","21","22","0","0","5","0.5","0.16","0","5","0","0"
"2","21","23","0","0","5","0.4","0.16","0","5","0","0"
"2","22","0","0","0","6","0.3","0.16","0","6","0","0"
"2","22","1","0","0","6","0.4","0.16","0","6","0","0"
"2","22","2","0","0","6","0.5","0.16","0","6","0","0"
"2","22","3","0","0","6","0.6","0.16","0","6","0","0"
"2","22","4","0","0","5","0.6","0.16","0","5","0","0"
"2","22","5","0","0","5","0.5","0.16","0","5","0","0"
"2","22","6","0","0","5","0.4","0.16","0","5","0","0"
"2","22","7","0","1","6","0.6","0.16","0.924","6.029","0","0"
"2","22","8","0","10","6","0.7","0.16","9.26","6.306","739.126","316.579"
"2","22","9","0","58","7","0.5","0.16","53.882","8.883","4556.633","3998.817"
"2","22","10","0","77","8","0.6","0.16","71.63","10.425","6022.945","5413.172"
"2","22","11","4","187","9","1.2","0.16","181.275","14.24","15427.236","14484.231"
"2","22","12","0","117","9","1.8","0.16","109.523","11.763","9220.801","8497.715"
"2","22","13","0","137","8","2.3","0.16","128.788","10.94","10953.04","10168.574"
"2","22","14","0","157","8","2.7","0.16","148.457","11.153","12740.165","11892.374"
"2","22","15","7","176","7","3.1","0.16","173.227","10.444","15129.854","14197.387"
"2","22","16","17","131","6","3.6","0.16","134.184","8.471","11842.602","11026.615"
"2","22","17","92","65","5","3.9","0.16","92.208","6.598","7621.405","6954.992"
"2","22","18","0","0","5","4","0.16","0","5","0","0"
"2","22","19","0","0","4","3.6","0.16","0","4","0","0"
"2","22","20","0","0","3","2.7","0.16","0","3","0","0"
"2","22","21","0","0","2","2","0.16","0","2","0","0"
"2","22","22","0","0","2","1.9","0.16","0","2","0","0"
"2","22","23","0","0","3","2","0.16","0","3","0","0"
"2","23","0","0","0","2","1.8","0.16","0","2","0","0"
"2","23","1","0","0","2","1.6","0.16","0","2","0","0"
"2","23","2","0","0","2","1.6","0.16","0","2","0","0"
"2","23","3","0","0","2","1.6","0.16","0","2","0","0"
